ID;BrojKonkurisanja;BrojPregledaOglasa;PrimarnaKategorija;StandardizovanaPozicija;ImaInostranstvoGrad;Regioni;ImaInostranstvoRegion;Godina;BrojPrijavaSamoIno;DatumObjave;NacinKonkurisanja;Grad;Nadkategorija;Drzava
85607;66;1939;IT;System Administrator / Engineer;ne;Inostranstvo;da;2013;;17.01.2013;N;0;Informacione tehnologije;0
85935;33;2875;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2013;;26.01.2013;NE;0;Tehničke nauke;0
86268;1;12859;trgovina, prodaja;Konsultant;ne;Srbija,Inostranstvo;da;2013;;30.01.2013;A;0;Ekonomija;0
86452;75;2101;IT;Software Developer / Programmer / Engineer;ne;Inostranstvo;da;2013;;05.02.2013;NE;Beograd, u inostranstvu;Informacione tehnologije;0
86501;0;9087;zdravstvo;administrativni radnik;ne;Inostranstvo;da;2013;;05.02.2013;A;Evropa (viĹˇe lokacija);Ekonomija;0
87027;26;1403;administracija, računovodstvo;referent finansija;ne;Inostranstvo;da;2013;;18.02.2013;N;0;Ekonomija;0
87332;38;2580;menadžment (srednji);menadžer nabavke;ne;Inostranstvo;da;2013;;26.02.2013;NE;0;Trgovina i usluge;0
87333;30;2580;menadžment (srednji);Rukovodilac odeljenja;ne;Inostranstvo;da;2013;;26.02.2013;NE;0;Ekonomija;0
87437;61;3114;mašinstvo;rukovodilac mašinske službe;ne;Inostranstvo;da;2013;;28.02.2013;NE;Evropi i Bliskom Istoku;Tehničke nauke;0
87772;29;2429;mašinstvo;mašinski inženjer;ne;Inostranstvo;da;2013;;08.03.2013;NE;0;Tehničke nauke;0
88210;0;489;IT;PHP Developer;ne;Inostranstvo;da;2013;;19.03.2013;A;Inostranstvo;Informacione tehnologije;0
88248;20;1210;mašinstvo;izrađivač alata;ne;Inostranstvo;da;2013;;19.03.2013;NE;0;Tehničke nauke;0
88398;0;10246;rudarstvo, metalurgija;Praktikant;ne;Inostranstvo;da;2013;;25.03.2013;A;Beograd / Popovac;Ekonomija;0
89231;73;963;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2013;;10.04.2013;NE;0;Tehničke nauke;0
89232;22;959;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2013;;10.04.2013;NE;0;Tehničke nauke;0
89233;8;958;građevina, geodezija;diplomirani geolog;ne;Inostranstvo;da;2013;;10.04.2013;NE;0;Tehničke nauke;0
89369;96;13871;administracija, računovodstvo;Telefonski operater;ne;Srbija,Inostranstvo;da;2013;;12.04.2013;NE;0;Ekonomija;0
89431;39;1474;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2013;;15.04.2013;NE;0;Tehničke nauke;0
90595;0;3617;IT;Software Developer / Programmer / Engineer;ne;Inostranstvo;da;2013;;17.05.2013;X;0;Informacione tehnologije;0
91753;35;1471;mašinstvo;građevinski inženjer;ne;Inostranstvo;da;2013;;18.06.2013;NE;0;Tehničke nauke;0
92400;88;2919;trgovina, prodaja;Menadžer prodaje i izvoza;ne;Inostranstvo;da;2013;;05.07.2013;NE;0;Trgovina i usluge;0
93166;22;1964;trgovina, prodaja;prodavac;ne;Inostranstvo;da;2013;;29.07.2013;N;ME;Trgovina i usluge;0
93249;228;3645;mašinstvo;mašinski inženjer;ne;Inostranstvo;da;2013;;31.07.2013;NE;Beograd, u inostranstvu;Tehničke nauke;0
93352;0;11785;trgovina, prodaja;Menadžer prodaje i izvoza;ne;Srbija,Inostranstvo;da;2013;;02.08.2013;X;0;Trgovina i usluge;0
93575;10;3004;mašinstvo;menadžer plana i analize;ne;Inostranstvo;da;2013;;09.08.2013;NE;0;Ekonomija;0
