ID;Disciplina;Pageviews;UniquePageviews;BounceRate;Year;AverTimePage;Zemlja;Kontinent;OblastStudija
5056;Biološke nauke;727;657;36.63%;2013;00:01:28;UK;Evropa;Prirodne nauke
5080;Ekonomija, bankarstvo i finansije;221;207;37.50%;2013;00:01:15;UK;Evropa;Društvene nauke
5084;Ekonomija, bankarstvo i finansije;423;404;17.65%;2013;00:01:44;UK;Evropa;Društvene nauke
5116;Biološke nauke;270;259;55.56%;2013;00:01:51;UK;Evropa;Prirodne nauke
5147;Dramska umetnost;330;313;41.86%;2013;00:01:14;UK;Evropa;Umetnost
5188;Saobraćaj;226;223;37.50%;2013;00:02:21;UK;Evropa;Tehničke nauke
5189;Biološke nauke;2231;2048;36.68%;2013;00:01:38;UK;Evropa;Prirodne nauke
5236;Menadžment;362;352;50.00%;2013;00:02:33;UK;Evropa;Društvene nauke
5244;Pedagoške nauke;588;550;59.59%;2013;00:03:56;Kina;Azija;Društvene nauke
5245;Ekonomija, bankarstvo i finansije;461;445;50.00%;2013;00:01:32;UK;Evropa;Društvene nauke
5270;Ekonomija, bankarstvo i finansije;1024;924;62.18%;2013;00:02:17;SAD;Severna Amerika;Društvene nauke
5304;Ekonomija, bankarstvo i finansije;441;414;50.00%;2013;00:02:42;UK;Evropa;Društvene nauke
5305;Modni dizajn;690;649;49.21%;2013;00:03:37;UK;Evropa;Umetnost
5342;Ekonomija, bankarstvo i finansije;478;445;41.88%;2013;00:01:09;Italija;Evropa;Društvene nauke
5343;Turizam i ugostiteljstvo;594;546;57.94%;2013;00:01:37;Italija;Evropa;Društvene nauke
5401;Pravo;160;149;68.29%;2013;00:01:29;UK;Evropa;Društvene nauke
5413;Hemija;327;320;44.68%;2013;00:01:19;UK;Evropa;Prirodne nauke
5414;Političke nauke;756;732;67.61%;2013;00:02:03;Australija;Australija;Društvene nauke
5416;Biološke nauke;488;473;47.92%;2013;00:01:15;Irska;Evropa;Prirodne nauke
5417;Biološke nauke;380;363;33.33%;2013;00:01:09;UK;Evropa;Prirodne nauke
