,ID,BrojKonkurisanja,BrojPregledaOglasa,NacinKonkurisanja,PrimarnaKategorija,StandardizovanaPozicija,Drzava,ImaInostranstvoGrad,Regioni,ImaInostranstvoRegion,Godina,Mesec_proba,Grad,Nadkategorija
0,85607,66,1939,N,IT,System Administrator / Engineer,0,ne,Inostranstvo,da,2013,1,0,Informacione tehnologije
1,85935,33,2875,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2013,1,0,Tehničke nauke
3,86452,75,2101,NE,IT,Software Developer / Programmer / Engineer,0,ne,Inostranstvo,da,2013,5,"Beograd, u inostranstvu",Informacione tehnologije
5,87027,26,1403,N,"administracija, računovodstvo",referent finansija,0,ne,Inostranstvo,da,2013,2,0,Ekonomija
6,87332,38,2580,NE,menadžment (srednji),menadžer nabavke,0,ne,Inostranstvo,da,2013,2,0,Trgovina i usluge
7,87333,30,2580,NE,menadžment (srednji),Rukovodilac odeljenja,0,ne,Inostranstvo,da,2013,2,0,Ekonomija
8,87437,61,3114,NE,mašinstvo,rukovodilac mašinske službe,0,ne,Inostranstvo,da,2013,2,Evropi i Bliskom Istoku,Tehničke nauke
9,87772,29,2429,NE,mašinstvo,mašinski inženjer,0,ne,Inostranstvo,da,2013,8,0,Tehničke nauke
11,88248,20,1210,NE,mašinstvo,izrađivač alata,0,ne,Inostranstvo,da,2013,3,0,Tehničke nauke
13,89231,73,963,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2013,10,0,Tehničke nauke
14,89232,22,959,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2013,10,0,Tehničke nauke
15,89233,8,958,NE,"građevina, geodezija",diplomirani geolog,0,ne,Inostranstvo,da,2013,10,0,Tehničke nauke
16,89369,96,13871,NE,"administracija, računovodstvo",Telefonski operater,0,ne,"Srbija,Inostranstvo",da,2013,12,0,Ekonomija
17,89431,39,1474,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2013,4,0,Tehničke nauke
19,91753,35,1471,NE,mašinstvo,građevinski inženjer,0,ne,Inostranstvo,da,2013,6,0,Tehničke nauke
20,92400,88,2919,NE,"trgovina, prodaja",Menadžer prodaje i izvoza,0,ne,Inostranstvo,da,2013,5,0,Trgovina i usluge
21,93166,22,1964,N,"trgovina, prodaja",prodavac,0,ne,Inostranstvo,da,2013,7,ME,Trgovina i usluge
22,93249,228,3645,NE,mašinstvo,mašinski inženjer,0,ne,Inostranstvo,da,2013,7,"Beograd, u inostranstvu",Tehničke nauke
24,93575,10,3004,NE,mašinstvo,menadžer plana i analize,0,ne,Inostranstvo,da,2013,9,0,Ekonomija
25,94931,5,720,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2013,9,0,Trgovina i usluge
26,94933,83,4860,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2013,9,0,Zdravstvo i farmacija
27,94934,63,2157,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2013,9,0,"Obrazovanje, umetnost i sport"
28,94936,14,855,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2013,9,0,Trgovina i usluge
29,94937,53,4565,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2013,9,0,Zdravstvo i farmacija
30,94938,17,967,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2013,9,0,Trgovina i usluge
31,95692,75,3499,NE,"transport, magacin",vozač,0,da,,ne,2013,4,0,Trgovina i usluge
32,95887,119,4015,N,IT,Menadžer projekata,0,da,,ne,2013,9,0,Ekonomija
33,96726,143,3020,NE,mašinstvo,mašinski inženjer,0,da,,ne,2013,10,0,Tehničke nauke
34,96836,9,433,NE,mašinstvo,mehaničar,0,ne,Inostranstvo,da,2013,2,0,Tehničke nauke
35,97219,213,7660,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2013,11,Beograd / u inostranstvu,Tehničke nauke
36,97618,76,2593,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2013,11,0,Zdravstvo i farmacija
37,97619,60,1746,NE,ostalo,fitnes instruktor,0,ne,Inostranstvo,da,2013,11,0,"Obrazovanje, umetnost i sport"
38,97620,11,1000,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2013,11,0,Trgovina i usluge
